特征名,重要性
C15_da315591,0
C15_dabed845,0
C15_dad721df,0
C15_db586845,0
C15_dbbde166,0
C15_dbc5e126,0
C15_dbf47116,0
C15_dc96c4b0,0
C15_dcac819d,0
C15_dcd06253,0
C15_ae0c3875,0
C15_dd94570a,0
C15_dddb8950,0
C15_de829bed,0
C15_de877c2a,0
C15_df2f73e9,0
C15_df360709,0
C15_df97efd0,0
C15_dfab705f,0
C15_e0052e65,0
C15_e02fd783,0
C15_e083c32b,0
C15_e0cb89f2,0
C15_dd42a670,0
C15_d15aec87,0
C15_d1e0c736,0
C15_d2160250,0
C15_d27eed0e,0
C15_d2988321,0
C15_d2da00f1,0
C15_d2f03b75,0
C15_d2fba5f5,0
C15_d30dcf14,0
C15_d345b1a0,0
C15_d493d6b4,0
C15_d5223973,0
C15_d9e19f11,0
C15_d57668e2,0
C15_d582d840,0
C15_d6c04afa,0
C15_d702713a,0
C15_d75bc17d,0
C15_d82fb770,0
C15_d83fb924,0
C15_d8b31d91,0
C15_d92705b2,0
C15_d9429614,0
C15_d959e25d,0
C15_d9c759ef,0
C15_d5690a93,0
C15_e8be4ceb,0
C15_e8d4033b,0
C15_e8f4b767,0
C15_e92521f5,0
C15_e952ec4a,0
C15_ea8d4f05,0
C15_eb1997cb,0
C15_eb8600ba,0
C15_ebc72f39,0
C15_ebd8f6fe,0
C15_ecec8b6d,0
C15_ed1eab3c,0
C15_e14a1b05,0
C15_ed46ad12,0
C15_edb12304,0
C15_ede0309e,0
C15_ee569ce2,0
C15_ee7a1b0e,0
C15_ee9ed69d,0
C15_eeaf9a90,0
C15_eedb44b4,0
C15_eff62e32,0
C15_f033fb80,0
C15_f0bf9094,0
C15_f0d27586,0
C15_ed217c18,0
C15_e1572535,0
C15_e1ac77f7,0
C15_e2275836,0
C15_e24ff4c6,0
C15_e2502ec9,0
C15_e25cc91e,0
C15_e2876dac,0
C15_e296eaf8,0
C15_e2c18d5a,0
C15_e2dd9a77,0
C15_e3209fc2,0
C15_e3eb97c7,0
C15_e8973e1f,0
C15_e40dc223,0
C15_e439dd9b,0
C15_e509a942,0
C15_e5a5467f,0
C15_e6863a8e,0
C15_e68feea8,0
C15_e6c5b5cd,0
C15_e7dd0bfc,0
C15_e7dfec07,0
C15_e842876b,0
C15_e857f574,0
C15_e89210ee,0
C15_e3fd574c,0
C15_b9c4a1cb,0
C15_b9df93b4,0
C15_ba8b8b16,0
C15_bac304f0,0
C15_bb3e1722,0
C15_bbe9d023,0
C15_bc55d84c,0
C15_bcf15323,0
C15_bcf35947,0
C15_bd2c909f,0
C15_bd352426,0
C15_d1320b47,0
C15_be77fbc9,0
C15_beac2588,0
C15_bf020cef,0
C15_bf94b88d,0
C15_bfa6d08a,0
C15_bfcf91a0,0
C15_bfef54b3,0
C15_bffbd637,0
C15_c06af98c,0
C15_c06bba41,0
C15_c0efdf62,0
C15_c11477f0,0
C15_be4cdb56,0
C15_ae97ecc3,0
C15_af56328b,0
C15_b00d57a8,0
C15_b02eef70,0
C15_b046231a,0
C15_b19c72b5,0
C15_b21f08fe,0
C15_b238b64e,0
C15_b27dd6c7,0
C15_b2ff8c6b,0
C15_b36ca009,0
C15_b388c23b,0
C15_b98be2c0,0
C15_b4a435f2,0
C15_b4e23a79,0
C15_b5914cd1,0
C15_b5de5956,0
C15_b6dcf31f,0
C15_b708086d,0
C15_b760dcb7,0
C15_b775a16c,0
C15_b812f9f2,0
C15_b8437aeb,0
C15_b88d2fea,0
C15_b96e7224,0
C15_b43b1e88,0
C15_cbbe08bc,0
C15_cbdbab51,0
C15_cbffe0e5,0
C15_cc1a4e6d,0
C15_cc4a49ab,0
C15_cca21054,0
C15_cccdd69e,0
C15_cd48a236,0
C15_cdb2b572,0
C15_cdc6b72b,0
C15_cddd56a1,0
C15_ce0f2958,0
C15_c160079d,0
C15_ceb8574f,0
C15_ced5be3a,0
C15_ceece8bd,0
C15_cef498a5,0
C15_cf91c7a1,0
C15_d002b6d9,0
C15_d038e464,0
C15_d054d062,0
C15_d07fce85,0
C15_d1128331,0
C15_d11c8b5c,0
C15_d120f347,0
C15_ce3c65c0,0
C15_c169c458,0
C15_c1a9d38f,0
C15_c251e774,0
C15_c27f6c76,0
C15_c2b7aaa6,0
C15_c38116c9,0
C15_c39914bd,0
C15_c57dc31f,0
C15_c5d3e789,0
C15_c5ef87d5,0
C15_c633f268,0
C15_c68ba31d,0
C15_cae64906,0
C15_c6ceab4d,0
C15_c7d1918f,0
C15_c80d508c,0
C15_c8389df7,0
C15_c888d015,0
C15_c8eb437a,0
C15_c9349f4b,0
C15_c94a9d2c,0
C15_c94f6bb0,0
C15_c9b266fc,0
C15_c9e96939,0
C15_c9f66e21,0
C15_c6a089a8,0
C16_bc4242b2,0
C16_bc982a25,0
C16_bcae7dd8,0
C16_bcb792f1,0
C16_bd1b095e,0
C16_bd736cca,0
C16_bd9dd4a8,0
C16_be1e450d,0
C16_be7e65d8,0
C16_be87969d,0
C16_be9937f2,0
C16_4fe54ff2,0
C16_bed9b181,0
C16_beef16d6,0
C16_bf784cf7,0
C16_bfa1f6fd,0
C16_bfc627ff,0
C16_c0673b44,0
C16_c0c7a39b,0
C16_c15f510c,0
C16_c1f64e08,0
C16_c23fc7ec,0
C16_c2a53b02,0
C16_c2cb53e9,0
C16_bebbdb92,0
C16_b7849023,0
C16_b78548fb,0
C16_b7ff649b,0
C16_b891dfc1,0
C16_b8b09fe6,0
C16_b93ac0ad,0
C16_b9489f7c,0
C16_b9660ab7,0
C16_b97f8f45,0
C16_ba0eeab9,0
C16_ba3c5dc1,0
C16_bc05011a,0
C16_ba46c3a1,0
C16_ba4aef4d,0
C16_ba96b28e,0
C16_baa5dd2f,0
C16_bacca1b8,0
C16_bad5ee18,0
C16_bb01ab0a,0
C16_bb4af146,0
C16_bb5765f4,0
C16_bb6a819e,0
C16_bb6d240e,0
C16_bbd4b7e8,0
C16_ba44f41c,0
C16_c92f3b61,0
C16_c9b59cb9,0
C16_c9d2bbf0,0
C16_c9d2cbe2,0
C16_c9df9574,0
C16_ca101104,0
C16_ca567acb,0
C16_ca7718ac,0
C16_ca80f0f2,0
C16_cae0eccf,0
C16_cb13a081,0
C16_c2f469a5,0
C16_cb819dc1,0
C16_cb8555a4,0
C16_cb880c3a,0
C16_cb8e9784,0
C16_cbc8c99d,0
C16_cc19f667,0
C16_ccf4d83d,0
C16_ccf55c34,0
C16_ccf7994a,0
C16_cd025a1a,0
C16_cd220c47,0
C16_cd32ddc9,0
C16_cb1662be,0
C16_c33d389a,0
C16_c376c946,0
C16_c39ee367,0
C16_c3da96c9,0
C16_c41d1835,0
C16_c449f783,0
C16_c495a6ab,0
C16_c49ec8e7,0
C16_c4cde3e8,0
C16_c4de5bba,0
C16_c4f8ab3f,0
C16_c564ab4e,0
C16_c8ec97e6,0
C16_c64d548f,0
C16_c65c4721,0
C16_c66a58da,0
C16_c6b1e1b2,0
C16_c71b9a01,0
C16_c72416f7,0
C16_c7313a80,0
C16_c78e1ccd,0
C16_c7954082,0
C16_c7ff57b5,0
C16_c8e21b43,0
C16_c8ebd6d1,0
C16_c60ad920,0
C16_a770e7fc,0
C16_a78f25f7,0
C16_a7cfe8b7,0
C16_a7d129f2,0
C16_a7d2766d,0
C16_a7e2d1cd,0
C16_a81c4159,0
C16_a87a7c4e,0
C16_a88bcec6,0
C16_a8903c45,0
C16_a8a75566,0
C16_b74e1eb0,0
C16_a9dcda12,0
C16_aa0b4071,0
C16_aa2872ec,0
C16_aac7cef3,0
C16_aafa191e,0
C16_ab6d47de,0
C16_ab8b968d,0
C16_ab9a7e6a,0
C16_ab9b38cf,0
C16_ac07723b,0
C16_ac2e5095,0
C16_ac5fe8ed,0
C16_a92ea6a5,0
C16_a13376db,0
C16_a13650e3,0
C16_a142323e,0
C16_a14a85f0,0
C16_a231edf3,0
C16_a2f91f2d,0
C16_a2fef1bb,0
C16_a3496f7d,0
C16_a3c6a738,0
C16_a3cf6687,0
C16_a3ede649,0
C16_a76922c9,0
C16_a46acbe8,0
C16_a4a21eea,0
C16_a4e0799c,0
C16_a5031546,0
C16_a54711b4,0
C16_a55f20ce,0
C16_a56b1c87,0
C16_a5bf2db0,0
C16_a5d59761,0
C16_a6a69939,0
C16_a6e8151e,0
C16_a70e00db,0
C16_a4676ba4,0
C16_b16bfdcd,0
C16_b185ed67,0
C16_b25cb682,0
C16_b2ac0684,0
C16_b2ae3c75,0
C16_b2d7143d,0
C16_b2f2a0c7,0
C16_b2fe1c00,0
C16_b34abb88,0
C16_b3f02860,0
C16_b415c17c,0
C16_ac6a6c69,0
C16_b4bb659e,0
C16_b512488b,0
C16_b599c025,0
C16_b5d5a951,0
C16_b5d82b8f,0
C16_b61d52ea,0
C16_b62f84c2,0
C16_b688c8cc,0
C16_b6acbd10,0
C16_b6d021e8,0
C16_b6e2efef,0
C16_b7053962,0
C16_b43cd748,0
C16_accf6945,0
C16_acf5f625,0
C16_acfad74a,0
C16_ad0cdd9f,0
C16_ad48368b,0
C16_ad5061b7,0
C16_ad774107,0
C16_ad9f8984,0
C16_adc74e87,0
C16_ae08f950,0
C16_ae5da3ff,0
C16_aed52b4e,0
C16_b1296b69,0
C16_af934288,0
C16_afb79297,0
C16_afc96aa6,0
C16_aff505e6,0
C16_b00d3dc9,0
C16_b031d057,0
C16_b041b04a,0
C16_b05879fe,0
C16_b06f79e3,0
C16_b0888b66,0
C16_b1007544,0
C16_b108c1ca,0
C16_af157112,0
C16_ecfa1f48,0
C16_ecfdc8a2,0
C16_ed067317,0
C16_ed7abfcd,0
C16_edf1f5cc,0
C16_ef4073ea,0
C16_ef734ec3,0
C16_f036a5b6,0
C16_f0717402,0
C16_f073b53c,0
C16_f086c3c7,0
C16_cdfadac5,0
C16_f128e499,0
C16_f13e0819,0
C16_f16e21bb,0
C16_f1ab4a31,0
C16_f2462d51,0
C16_f2480acd,0
C16_f272267e,0
C16_f294bed7,0
C16_f2a191bd,0
C16_f327e411,0
C16_f327fd2f,0
C16_f356b4b9,0
C16_f10ee122,0
C16_e7287ff1,0
C16_e73be0e3,0
C16_e73fa8aa,0
C16_e78c0ecc,0
C16_e7ce7954,0
C16_e7eb8087,0
C16_e83cac89,0
C16_e853c871,0
C16_e88bd7ce,0
C16_e895d2cc,0
C16_e8e39ab0,0
C16_ec676ace,0
C16_e9194f3c,0
C16_e9357368,0
C16_e9aa3184,0
C16_e9bf33b6,0
C16_ea3544d3,0
C16_ea5fe491,0
C16_eaead249,0
C16_eb272321,0
C16_eba4503a,0
C16_eba85660,0
C16_ebc92e5f,0
C16_ebe989c7,0
C16_e8faf6f4,0
C16_f8b34416,0
C16_f8f7edbf,0
C16_f8fb9f92,0
C16_f939369e,0
C16_f95cc162,0
C16_f96b961a,0
C16_f9b807ca,0
C16_fa164cc9,0
C16_fa608050,0
C16_fa8d05aa,0
C16_fad78138,0
C16_f3654285,0
C16_fb8ca891,0
C16_fc10e944,0
C16_fc60350c,0
C16_fc877894,0
C16_fc93d6bd,0
C16_fc95dd4e,0
C16_fcfce0a9,0
C16_fd37f1d8,0
C16_fd469c46,0
C16_fd55f6e5,0
C16_fd81fbb4,0
C16_fdcf791c,0
C16_fb8600df,0
C16_f3c338af,0
C16_f3f45edc,0
C16_f4ead43c,0
C16_f4fe237d,0
C16_f536453d,0
C16_f5697bfb,0
C16_f5b1ed89,0
C16_f5cbf4e1,0
C16_f5f5bdfa,0
C16_f6505d8b,0
C16_f671411f,0
C16_f67f1d00,0
C16_f8779c2a,0
C16_f6d1f011,0
C16_f6e0a711,0
C16_f701001a,0
C16_f72d4e1e,0
C16_f744d55b,0
C16_f76ceb32,0
C16_f7754bde,0
C16_f784e213,0
C16_f7fd4a03,0
C16_f80f36da,0
C16_f83a681d,0
