叶子特征,系数
gbdt_leaf_8_12,0.19356774386839756
gbdt_leaf_20_6,0.19356774386839756
gbdt_leaf_30_13,-0.19304807411646166
gbdt_leaf_29_0,-0.19262188775148528
gbdt_leaf_31_46,-0.19192203378712083
gbdt_leaf_18_9,-0.19151016812405075
gbdt_leaf_6_33,0.19149423168772278
gbdt_leaf_13_2,-0.1910073917490859
gbdt_leaf_13_23,-0.19050745732525215
gbdt_leaf_1_26,0.19042940051233678
gbdt_leaf_2_22,-0.19031538126048078
gbdt_leaf_6_22,0.1895123755222756
gbdt_leaf_25_17,0.1893105442392319
gbdt_leaf_3_30,0.18874425665997482
gbdt_leaf_9_43,-0.18795862841988967
gbdt_leaf_12_17,0.18751949926712955
gbdt_leaf_0_9,0.18751949926712955
gbdt_leaf_22_15,-0.18679187945299505
gbdt_leaf_0_2,0.18653469272511897
gbdt_leaf_0_11,-0.1861729875558602
gbdt_leaf_28_35,-0.18558426976598308
gbdt_leaf_26_10,-0.18526972378471543
gbdt_leaf_3_35,0.1850011048863204
gbdt_leaf_18_20,-0.18408056518518834
gbdt_leaf_25_35,-0.18399996862590273
gbdt_leaf_16_25,-0.1834310437869604
gbdt_leaf_10_9,-0.1814321678436041
gbdt_leaf_9_28,0.181023845464206
gbdt_leaf_13_32,-0.1806832122145744
gbdt_leaf_31_29,-0.18007624437830874
gbdt_leaf_16_37,-0.1800400861258851
gbdt_leaf_6_8,-0.17956021539137518
gbdt_leaf_3_48,-0.17916645476275772
gbdt_leaf_12_18,-0.17843380866861025
gbdt_leaf_11_42,-0.17779945164680386
gbdt_leaf_26_23,-0.1774977106335769
gbdt_leaf_20_15,0.17741850497434222
gbdt_leaf_19_9,0.17713903859443594
gbdt_leaf_11_12,-0.17713336453838902
gbdt_leaf_19_11,-0.17708935865258776
gbdt_leaf_13_13,0.17679089422577732
gbdt_leaf_3_25,-0.1767290580103202
gbdt_leaf_11_11,-0.17599424127658964
gbdt_leaf_4_34,-0.17592396249781347
gbdt_leaf_9_9,0.17538355573125414
gbdt_leaf_31_11,-0.17479026919333907
gbdt_leaf_30_28,0.17472263524163031
gbdt_leaf_22_8,-0.1741429386920702
gbdt_leaf_14_19,-0.17405953292176776
gbdt_leaf_6_1,-0.17393413842823938
gbdt_leaf_12_11,-0.17391997233451045
gbdt_leaf_1_8,-0.17373017760894963
gbdt_leaf_6_5,0.17346285238686518
gbdt_leaf_15_14,-0.17344042627368741
gbdt_leaf_31_20,0.17240518862070098
gbdt_leaf_7_16,-0.17204391754085033
gbdt_leaf_11_32,-0.17192559380292963
gbdt_leaf_29_36,-0.17182013871998697
gbdt_leaf_4_10,-0.17168921464213988
gbdt_leaf_17_26,0.17099460031775002
gbdt_leaf_26_24,0.17022054199457498
gbdt_leaf_28_5,-0.17014431671619487
gbdt_leaf_2_19,-0.16917562632464106
gbdt_leaf_31_21,-0.16887856911112556
gbdt_leaf_17_46,-0.16850600220028183
gbdt_leaf_27_12,-0.16818353858282217
gbdt_leaf_9_23,0.1681687005389304
gbdt_leaf_11_45,-0.16798958534646014
gbdt_leaf_19_42,0.16740790471705094
gbdt_leaf_16_4,0.16626837756285745
gbdt_leaf_19_4,0.16626837756285745
gbdt_leaf_10_20,0.16608856668657315
gbdt_leaf_10_36,0.1658340503640075
gbdt_leaf_16_26,0.16520755847950672
gbdt_leaf_27_20,0.1642836991088056
gbdt_leaf_26_45,-0.1639353443111963
gbdt_leaf_29_28,-0.16339040783682468
gbdt_leaf_7_46,-0.16324065274823868
gbdt_leaf_22_29,0.16321800782804566
gbdt_leaf_24_4,0.16302921665322279
gbdt_leaf_25_20,-0.1625999250986155
gbdt_leaf_1_27,-0.16222719165781996
gbdt_leaf_22_7,-0.16209663058072613
gbdt_leaf_3_11,0.16199578564938935
gbdt_leaf_15_11,-0.16139929752877527
gbdt_leaf_7_29,0.1609122086672264
gbdt_leaf_30_6,-0.16059570614808652
gbdt_leaf_27_5,0.16052640289034056
gbdt_leaf_23_36,-0.16029405372781036
gbdt_leaf_19_26,0.15994287340378818
gbdt_leaf_14_2,-0.15956071073775852
gbdt_leaf_27_21,-0.15942784519411665
gbdt_leaf_2_4,0.15917710281169298
gbdt_leaf_30_8,-0.15890580415968933
gbdt_leaf_26_39,-0.15879895128763652
gbdt_leaf_18_22,0.15842366642445121
gbdt_leaf_27_15,-0.15809196066424083
gbdt_leaf_14_6,0.15761673582144906
gbdt_leaf_25_37,-0.15750967718235512
gbdt_leaf_6_32,-0.15694713314263917
gbdt_leaf_29_33,0.1558919092206807
gbdt_leaf_7_24,-0.15586060343251715
gbdt_leaf_17_36,-0.1556312834992335
gbdt_leaf_18_46,-0.15550671740576974
gbdt_leaf_9_26,-0.15545996601517365
gbdt_leaf_9_20,-0.1553036839623467
gbdt_leaf_23_37,-0.15519424926816766
gbdt_leaf_28_36,0.15515959751710232
gbdt_leaf_5_41,-0.1551542584975484
gbdt_leaf_23_2,-0.15417524929753462
gbdt_leaf_31_3,-0.15417524929753462
gbdt_leaf_17_2,-0.15402916972012579
gbdt_leaf_27_3,-0.15389694054744466
gbdt_leaf_19_25,-0.15327768640431155
gbdt_leaf_6_26,-0.15309639166058825
gbdt_leaf_21_0,-0.1529041123754116
gbdt_leaf_30_11,0.15281791329664224
gbdt_leaf_16_30,-0.15238402016628552
gbdt_leaf_31_32,0.15217915081571382
gbdt_leaf_5_45,-0.1521119874079667
gbdt_leaf_20_39,-0.1520494290384523
gbdt_leaf_2_34,-0.1520394363260829
gbdt_leaf_7_23,0.1519311106100463
gbdt_leaf_16_10,0.1518731154405444
gbdt_leaf_24_47,-0.15181796469347195
gbdt_leaf_14_42,-0.1515810005175651
gbdt_leaf_1_34,-0.15121989611558104
gbdt_leaf_17_32,-0.1509807152533599
gbdt_leaf_17_15,-0.15094044051221647
gbdt_leaf_24_11,-0.15094044051221647
gbdt_leaf_6_16,-0.15089500421249516
gbdt_leaf_26_9,0.15064766817939218
gbdt_leaf_13_29,0.1502074880885757
gbdt_leaf_22_39,-0.15018605159281928
gbdt_leaf_4_29,-0.15017330289322756
gbdt_leaf_26_30,0.1501587150736599
gbdt_leaf_21_20,-0.1500644514252217
gbdt_leaf_22_33,0.15001453919030586
